Product,SKU,SKUIsDisabled,Vendors,Partner,# Images,Brand,Color,Gender,Model,Print placement,Size,Underbase,price
T-shirts,Apparel-DTG-Tshirt-NL-6760-S-HeatherWhite-Womens-CFCB,,JakPrints,,2,Next Level,Heather White,Women's,6760 Triblend Dolman Tee,Center Front and Center Back,S,Underbase,19.74
T-shirts,Apparel-DTG-Tshirt-NL-6760-XL-HeatherWhite-Womens-CB,,JakPrints,,1,Next Level,Heather White,Women's,6760 Triblend Dolman Tee,Center Back,XL,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-XL-HeatherWhite-Womens-CF,,JakPrints,,1,Next Level,Heather White,Women's,6760 Triblend Dolman Tee,Center Front,XL,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-XL-HeatherWhite-Womens-CFCB,,JakPrints,,2,Next Level,Heather White,Women's,6760 Triblend Dolman Tee,Center Front and Center Back,XL,Underbase,19.74
T-shirts,Apparel-DTG-Tshirt-NL-6760-2XL-PremiumHeather-Womens-CB,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Back,2XL,Underbase,15.49
T-shirts,Apparel-DTG-Tshirt-NL-6760-2XL-PremiumHeather-Womens-CF,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front,2XL,Underbase,15.49
T-shirts,Apparel-DTG-Tshirt-NL-6760-2XL-PremiumHeather-Womens-CFCB,,JakPrints,,2,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front and Center Back,2XL,Underbase,21.24
T-shirts,Apparel-DTG-Tshirt-NL-6760-L-PremiumHeather-Womens-CB,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Back,L,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-L-PremiumHeather-Womens-CF,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front,L,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-L-PremiumHeather-Womens-CFCB,,JakPrints,,2,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front and Center Back,L,Underbase,19.74
T-shirts,Apparel-DTG-Tshirt-NL-6760-M-PremiumHeather-Womens-CB,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Back,M,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-M-PremiumHeather-Womens-CF,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front,M,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-M-PremiumHeather-Womens-CFCB,,JakPrints,,2,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front and Center Back,M,Underbase,19.74
T-shirts,Apparel-DTG-Tshirt-NL-6760-S-PremiumHeather-Womens-CB,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Back,S,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-S-PremiumHeather-Womens-CF,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front,S,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-S-PremiumHeather-Womens-CFCB,,JakPrints,,2,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front and Center Back,S,Underbase,19.74
T-shirts,Apparel-DTG-Tshirt-NL-6760-XL-PremiumHeather-Womens-CB,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Back,XL,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-XL-PremiumHeather-Womens-CF,,JakPrints,,1,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front,XL,Underbase,13.99
T-shirts,Apparel-DTG-Tshirt-NL-6760-XL-PremiumHeather-Womens-CFCB,,JakPrints,,2,Next Level,Premium Heather,Women's,6760 Triblend Dolman Tee,Center Front and Center Back,XL,Underbase,19.74
